restuarant_name,number_of_reviews,food_overall_rating,service_overall_rating,ambiance_overall_rating,overall_rating,noise_level,one_star_percent,two_star_percent,three_star_percent,four_star_percent,five_star_percent,loved_for_array,filters_array
Little - Baumbach,153,2.66,4.37,0.95,2.28,do not recall,0.011515927129817477,0.03084965951281589,0.005318897339715742,0.7769538711682106,0.14477127223510333,"{true,true,false,true}","{false,false,false,false}"
Kuhn Group,290,1.10,3.14,1.89,2.85,moderate,0.016424358156127687,0.08156353122590686,0.2968402212884978,0.5687083766859863,0.036371299667836476,"{true,true,true,false}","{false,true,false,true}"
"Durgan, Hilpert and Bernier",247,1.32,2.03,0.87,0.18,energetic,0.00005625753275700573,0.007099541346769523,0.0874254849204866,0.4875221432331143,0.41789620445805875,"{false,true,false,true}","{false,true,true,false}"
Ferry Group,305,4.18,3.12,1.85,3.72,moderate,0.013646611237555931,0.005831525060464747,0.07700515435176165,0.6079988160130491,0.2878706207776536,"{false,false,true,true}","{false,true,true,false}"
Sporer LLC,229,4.44,3.25,4.67,0.56,energetic,0.024247949118271106,0.0075542196997822,0.20154061790891173,0.5319096378127625,0.17678860851152178,"{true,false,true,true}","{false,true,false,true}"
Monahan Group,70,2.56,3.84,1.14,1.05,energetic,0.0254839453948848,0.00570498672064379,0.003619319456894516,0.018913971906633555,0.9374743986334768,"{false,false,false,true}","{true,true,false,false}"
"Rippin, Witting and Johnston",43,2.14,3.27,1.94,1.02,do not recall,0.013868781109628586,0.05240292050702383,0.006256071715510267,0.8852273300381673,0.0036879778756220283,"{false,true,true,false}","{true,false,true,true}"
Witting - Hamill,216,4.62,3.10,1.18,4.06,do not recall,0.00004462713087806209,0.0015730518933883665,0.0009727975596782141,0.32889954469317534,0.6685023361211655,"{false,true,false,true}","{false,true,false,true}"
"MacGyver, Hilpert and Bergnaum",276,0.24,2.21,3.96,4.28,energetic,0.30969658745643575,0.023787867410365808,0.1006385252533902,0.10125598993174321,0.38263951700439813,"{false,true,true,true}","{true,true,false,true}"
"Johnston, Medhurst and Jakubowski",349,0.88,0.71,1.16,2.42,quiet,0.03660481964980449,0.027502793225053435,0.20364351875755202,0.18285189434915056,0.5358757755600914,"{false,true,false,false}","{true,true,true,true}"
Halvorson and Sons,33,4.47,3.99,0.06,4.29,energetic,0.018055789103783807,0.125064070997636,0.13352528059912044,0.2145653460689444,0.48134260847278587,"{false,false,true,false}","{true,false,false,true}"
Spencer Inc,168,0.08,2.46,3.05,4.58,quiet,0.06646874381649968,0.00027441083232472487,0.21282863965931983,0.5908166173288494,0.08929369857557434,"{false,true,false,false}","{true,false,false,false}"
"Braun, Hudson and Konopelski",151,1.02,2.01,3.09,3.08,do not recall,0.015098763448326957,0.07133774938061532,0.14320942331023698,0.24311071048656177,0.4446977877518219,"{true,false,false,true}","{true,false,true,true}"
Kub - Thompson,29,2.37,2.22,4.11,0.96,quiet,0.00028387061580680445,0.025459124060657028,0.14759306534255082,0.27441814507978307,0.5504958947732816,"{true,false,false,false}","{true,true,false,false}"
"Boyle, DuBuque and Schowalter",323,2.35,3.43,0.67,0.27,moderate,0.24794341403828507,0.06316153983883763,0.18977297102999865,0.07475997671065687,0.37677187962362546,"{false,true,true,false}","{true,false,false,false}"
"Braun, Jakubowski and Batz",120,3.45,1.66,1.85,1.96,moderate,0.018262176853168346,0.05099431635548366,0.06609084326208844,0.4452642916925383,0.40453808233378696,"{true,false,false,false}","{true,false,false,true}"
Stoltenberg - Hartmann,20,3.24,1.25,4.11,0.28,moderate,0.0000063012299246279754,0.0030465683992659167,0.009978835003208135,0.040859943202722786,0.9460442364705528,"{true,false,true,true}","{false,true,true,false}"
Osinski Inc,370,3.92,0.16,3.47,3.69,quiet,0.057058770148187915,0.03885044644067076,0.482425334748895,0.05599466391471876,0.3283680855376827,"{true,false,false,true}","{false,false,true,false}"
Crist Group,208,3.97,2.21,0.68,4.42,moderate,0.031342661206758785,0.2877418701674679,0.005508632142459207,0.01655442290235874,0.649063995297164,"{true,false,false,false}","{false,false,false,true}"
Hegmann Inc,283,3.79,2.02,0.26,3.99,moderate,0.00282322602797584,0.07189008538258325,0.0023922328809421484,0.28375754174792217,0.6382805588757443,"{true,false,false,true}","{false,true,false,true}"
"Simonis, Hyatt and Balistreri",183,3.23,0.95,3.48,2.95,moderate,0.00774242409154783,0.035314341206314236,0.08434477388692568,0.8031374459722685,0.06260142815671821,"{true,false,false,false}","{true,true,true,false}"
Weimann LLC,370,2.25,0.72,0.26,1.79,energetic,0.08704269063557288,0.03143887056650458,0.011725842013249691,0.3681763331785218,0.22661753469209978,"{false,false,true,true}","{true,true,false,true}"
"Veum, Kihn and Murray",242,4.16,3.97,4.89,4.04,moderate,0.11556538602949894,0.025975893738304525,0.1334376179400652,0.47375373849707253,0.19430788633230112,"{true,true,true,true}","{true,true,true,false}"
Rippin Group,113,1.21,4.64,0.31,2.83,moderate,0.002484960353796978,0.008656031015952049,0.17343869301904247,0.4731969527194092,0.34134808559599095,"{false,true,false,true}","{false,false,true,true}"
"Maggio, Dach and Mertz",98,1.35,1.25,3.72,1.24,energetic,0.0027581477933083217,0.10754647808511263,0.03263725028763626,0.801463738230149,0.04887283091316519,"{true,true,true,false}","{false,true,true,false}"
Windler - Ritchie,325,2.70,1.27,4.89,0.04,do not recall,0.13946414412377817,0.5337422272546434,0.06507977029261953,0.17030551685027379,0.057551122046786585,"{false,true,true,false}","{false,true,true,false}"
Bins - Abshire,89,2.41,0.13,1.73,0.95,energetic,0.01744538222974661,0.25963628864015004,0.10928507121886483,0.10782748435595396,0.49855320933454395,"{false,false,false,true}","{false,true,true,false}"
Waelchi - Fadel,85,2.25,1.81,0.75,0.01,quiet,0.012680087685027945,0.019545287884972416,0.2790550620405367,0.22797751806341704,0.458192715757165,"{true,true,false,true}","{false,true,false,false}"
"Reynolds, Macejkovic and Howe",117,2.87,0.62,2.06,1.63,quiet,0.0020449815551432803,0.035685561833115546,0.07832099828378748,0.06512859268296405,0.8164393198937425,"{false,true,false,true}","{false,false,true,false}"
Ward Inc,380,2.86,2.49,1.96,1.01,moderate,0.009287220772825965,0.010379382687332194,0.048883194855565554,0.029570561234082807,0.8614569067788636,"{true,false,false,true}","{true,false,false,false}"
"Fritsch, Cummerata and Halvorson",101,1.41,2.82,0.26,3.78,do not recall,0.021032099602630142,0.02784747746570347,0.02334999451271036,0.5914400637081829,0.29425378660195367,"{false,false,false,false}","{false,true,false,false}"
